AccessionID	Start	End
ABC	14	30	
AB000278	15	450
AB000278	600	900
AB000390	16	475
AB004722	10	430
AB004722	50	478
AB004724	20	490
AJ865469	25	467
DQ241819	30	430	
L09174	42	510
L14675	19	390
X68174	22	435
X77842	18	455
X89072	14	444
Y18175	27	435
Z26939	25	445
AE016877	16	469
L27478	20	459
L34621	18	472
L34622	21	457
